Event Receive Time,Event Type,Event Name,Incident Reporting Device,Incident Source,Incident Target,Host IP,Host Name,Incident Status,Incident Resolution,Incident Tag Name,Incident Comments,Incident Category,Attack Technique,Attack Tactic
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx57.fortinet-us.com,,"hostIpAddr:172.30.54.57, hostName:ussvnplesx57.fortinet-us.com,",172.30.54.57,ussvnplesx57.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx57.fortinet-us.com,,"hostIpAddr:172.30.54.57, hostName:ussvnplesx57.fortinet-us.com,",172.30.54.57,ussvnplesx57.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx56.fortinet-us.com,,"hostIpAddr:172.30.54.56, hostName:ussvnplesx56.fortinet-us.com,",172.30.54.56,ussvnplesx56.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx57.fortinet-us.com,,"hostIpAddr:172.30.54.57, hostName:ussvnplesx57.fortinet-us.com,",172.30.54.57,ussvnplesx57.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:55,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,vc-devops.fortinet-us.com,,"hostName:vc-devops.fortinet-us.com, datacenter:US-NPL,",,vc-devops.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:51,PH_RULE_VM_MEM_WARN,Virtual Machine Memory Swapping Warning,FSM-AZHU-CentOS8-NFS33-172.30.57.33,,"hostIpAddr:172.30.57.33, hostName:FSM-AZHU-CentOS8-NFS33-172.30.57.33, vmName:FSM-AZHU-CentOS8_NFS33_57.33,",172.30.57.33,FSM-AZHU-CentOS8-NFS33-172.30.57.33,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:51,PH_RULE_ESX_MEM_WARN,ESX Memory Warning,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:51,PH_RULE_SERVER_CPU_WARN,Server CPU Warning,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:51,PH_RULE_ESX_MEM_WARN,ESX Memory Warning,ussvnplesx56.fortinet-us.com,,"hostIpAddr:172.30.54.56, hostName:ussvnplesx56.fortinet-us.com,",172.30.54.56,ussvnplesx56.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:51,PH_RULE_ESX_CPU_WARN,ESX CPU Warning,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:49,PH_RULE_VM_MEM_WARN,Virtual Machine Memory Swapping Warning,WINServer2019,,"hostIpAddr:172.30.56.31, hostName:WINServer2019, vmName:FSM-TTRINH-2019-WINDOW-172.30.56.31,",172.30.56.31,WINServer2019,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:47,PH_RULE_VM_MEM_CRIT,Virtual Machine Memory Swapping Critical,FSM-AZHU-CentOS8-NFS33-172.30.57.33,,"hostIpAddr:172.30.57.33, hostName:FSM-AZHU-CentOS8-NFS33-172.30.57.33, vmName:FSM-AZHU-CentOS8_NFS33_57.33,",172.30.57.33,FSM-AZHU-CentOS8-NFS33-172.30.57.33,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:47,PH_RULE_ESX_MEM_CRIT,ESX Memory Critical,ussvnplesx51.fortinet-us.com,,"hostIpAddr:172.30.54.51, hostName:ussvnplesx51.fortinet-us.com,",172.30.54.51,ussvnplesx51.fortinet-us.com,0,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx52.fortinet-us.com,,"hostIpAddr:172.30.54.52, hostName:ussvnplesx52.fortinet-us.com,",172.30.54.52,ussvnplesx52.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx57.fortinet-us.com,,"hostIpAddr:172.30.54.57, hostName:ussvnplesx57.fortinet-us.com,",172.30.54.57,ussvnplesx57.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx58.fortinet-us.com,,"hostIpAddr:172.30.54.58, hostName:ussvnplesx58.fortinet-us.com,",172.30.54.58,ussvnplesx58.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx53.fortinet-us.com,,"hostIpAddr:172.30.54.53, hostName:ussvnplesx53.fortinet-us.com,",172.30.54.53,ussvnplesx53.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx56.fortinet-us.com,,"hostIpAddr:172.30.54.56, hostName:ussvnplesx56.fortinet-us.com,",172.30.54.56,ussvnplesx56.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx59.fortinet-us.com,,"hostIpAddr:172.30.54.59, hostName:ussvnplesx59.fortinet-us.com,",172.30.54.59,ussvnplesx59.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
10/3/22 17:33,PH_RULE_ESX_DISKIO_WARN,ESX Disk I/O Warning,ussvnplesx54.fortinet-us.com,,"hostIpAddr:172.30.54.54, hostName:ussvnplesx54.fortinet-us.com,",172.30.54.54,ussvnplesx54.fortinet-us.com,1,1,,,2,"[{""name"": ""Endpoint Denial of Service: OS Exhaustion Flood"", ""techniqueid"": ""T1499.001""}]",Impact
